id,tweet_text,labeled_brand_or_product,detected_emotion,human_sentiment
1944,"Is there any way of deleting an app that won't stop loading on the iPhone? Draining my power, but no 'x' to cancel. Help me, #SXSW.",iPad or iPhone App,Negative emotion,negative
1945,"Fast Company: #SXSW Why Google, Apple, EA Games, Zynga, Facebook, Microsoft and Intuit went gaga for The Go Game... {link}",,No emotion toward brand or product,neutral
1946,"Why does anyone do a product just for one thing - just an iPad, just a droid, just a IPhone? Won't ultimately work. @mention Diller #SXSW",,No emotion toward brand or product,neutral
1947,Great recap of a seemingly great #sxsw session: RT @mention Relive the wonder that was the Google v Bing panel: {link},Google,Positive emotion,positive
1948,Great recap of Google/Bing Q/A session on website ranking #SXSW #qagb {link} (via @mention cc: @mention,Google,Positive emotion,positive
1949,"iPad 2 Graphics Much Faster Than iPad 1, Motorola Xoom {link} @mention #tech #SXSW",iPad,Positive emotion,positive
1950,I hope  #apple approves iRelay social network for mobile photo sharing app before #SXSW. Easier to share with people of they can download,iPad or iPhone App,Positive emotion,positive
1951,"At #sxsw apple has 99% marketshare, not seeing much linux.",,No emotion toward brand or product,neutral
1952,A major #Apple iOS update the day before #SXSW? What genius project manager came up with that brilliant idea? #NoWhammies,Apple,Negative emotion,negative
1953,@mention Apple is great at turning the new into the old  #SXSW,Apple,Positive emotion,positive
1954,Sweet... Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,Positive emotion,positive
1955,@mention Apple pop-up store at #sxsw was 5 blocks long! #BetterThingsToDo,Apple,Negative emotion,negative
1956,Does the apple pop-up store still have iPads? #sxsw #sxswi,iPad,Positive emotion,positive
1957,"Love the Apple pop-up store at #SXSW. So freaking smart. Now, one question. Will AT&amp;T bring trucks for signal again? Please say yes.",Apple,Positive emotion,positive
1958,Queue at Apple Pop-Up Store at #sxsw still long!,,Negative emotion,negative
1959,"At SXSW, Apple schools the marketing experts - CNET {link} #sxsw",Apple,Positive emotion,positive
1960,"At SXSW, Apple schools the marketing experts {link}  #SXSW",Apple,Positive emotion,positive
1961,"At SXSW, Apple schools the marketing experts {link} /via @mention #SXSW #Apple",Apple,Positive emotion,positive
1962,"At SXSW, Apple schools the marketing experts {link} #Apple #JobsCo #SXSW",Apple,Positive emotion,positive
1963,"At SXSW, Apple schools the marketing experts {link} #SXSW #essdub",,No emotion toward brand or product,neutral
1964,"At SXSW, Apple schools the marketing experts | #SXSW. {link}",,No emotion toward brand or product,neutral
1965,"At SXSW, Apple schools the marketing experts: {link} via @mention #sxsw #apple #marketing",Apple,Positive emotion,positive
1966,clever - Apple set to open popup shop in core of #SXSW action {link},Apple,Positive emotion,positive
1967,Watched #Apple staff at the temp #sxsw store just high five entire long line and facepalmed. Ugh.,,No emotion toward brand or product,neutral
1968,@mention Apple store NYC one day? #SXSW,,No emotion toward brand or product,neutral
1969,"RE: temp Apple store--great move, they really need help with brand recognition :) In all seriousness, pretty cool. #SXSW",Apple,Positive emotion,positive
1970,Well The Apple Store website says iPads will only be available at 5 PM on Friday Wonder how that will affect #SxSW,,No emotion toward brand or product,neutral
1971,@mention Apple to open a pop-up store downtown Austin (6th &amp; congress) for #SXSW and the iPad 2 launch,,No emotion toward brand or product,neutral
1972,Come on #Apple! Why cant I have spell-checking without auto-correct? Must it be all or nothing? #Grrr #sxsw,Apple,Negative emotion,negative
1973,Line for Apple's iPad 2 popup store is already wrapping around the block. #SXSW  {link},,Positive emotion,positive
1974,@mention apple's making a temp store for #SXSW 2011 for u to get an iPad 2 !! {link},iPad,Positive emotion,positive
1975,New iPad Apps for #Speech Therapy and Communication Are Showcased at the #SXSW Conference {link},,No emotion toward brand or product,neutral
1976,New iPad Apps for Speech Therapy and Communication Are Showcased at #SXSW | @mention {link},,No emotion toward brand or product,neutral
1977,New iPad Apps For Speech Therapy And Communication Are Showcased At The #SXSW Conference {link} #sxswi #SXSH #SXSWh #hcsm #slp,,No emotion toward brand or product,neutral
1978,New iPad Apps for Speech Therapy and Communication Are Showcased at the #SXSW Conference {link} cc @mention @mention #sxswi,,No emotion toward brand or product,neutral
1979,First 19 Apps To Download For Your #iPad 2 {link} #SXSW #in via @mention @mention,,No emotion toward brand or product,neutral
1980,"#SXSW ##tapworthy Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW.
{link}",,No emotion toward brand or product,neutral
1981,Vai come̤ar a palestra do  @mention ex-chief evangelist of Apple #sxsw,,I can't tell,neutral
1982,"Seen so far at #SxSW: pop-up Apple Store, pillow fight, mechanical bull, girls wearing jetpacks.",,No emotion toward brand or product,neutral
1983,150 mm usar of Google maps ate mobile. #sxsw,,No emotion toward brand or product,neutral
1984,"Not to fear, #SXSW attendees... you can pick up your iPad 2s from Apple's Austin pop-up shop! {link} via @mention",iPad,Positive emotion,positive
1985,"#bettersearch #sxsw Google Hotpot--looks like a streamlined Yelp. Not as in-depth, though. Wondering if there is any game theory built in.",,No emotion toward brand or product,neutral
1986,"as the search from sxsw via twitter does not work, check out google's real time search, at least you get some results #sxsw",Other Google product or service,Positive emotion,positive
1987,20% of searches on Google are local searches #SXSW,,No emotion toward brand or product,neutral
1988,Another hard call this morning: Designing for the iPad or From reading to writing the genetic code. Going with the latter. #sxsw,,No emotion toward brand or product,neutral
1989,Police guard iPad 2's at Apple Store #sxsw #iPad {link},,No emotion toward brand or product,neutral
1990,I just heard that iPads are sold out (except for a few) at Apple pop-up store #sxsw True?,,No emotion toward brand or product,neutral
1991,"Share, share and share some more. #Posterous Joins The #SXSW Pile On With Posterous Events For iPhone {link} #socmedia",,Positive emotion,positive
1992,"Checkins are fun, but we need to extend beyond just being fun and make checkins useful #sxsw #google",,No emotion toward brand or product,neutral
1993,Startups are talking to the captive audience here in the Apple store line. Very smart idea. Why aren't more doing it? #SXSW,,No emotion toward brand or product,neutral
1994,@mention are you around #sxsw? Need a US sim for my iphone 3GS for the next 10. Wanna bring one in? #please,,No emotion toward brand or product,neutral
1995,"@mention Are you at #sxsw ?  || No, just watching from afar.  Couldn't help noticing buzz generated by  a shirt + arduino + android !",,No emotion toward brand or product,neutral
1996,@mention are you in Texas? HOW IS IT?  #Apple #SXSW,,No emotion toward brand or product,neutral
1997,@mention are you really coming to the Team Android Party? #sxsw,,No emotion toward brand or product,neutral
1998,Tried Square?? It's a credit card reader for iPhone and Android. Amazingly simple. #SXSW impressed. {link},iPad or iPhone App,Positive emotion,positive
1999,@mention arg. It won't load on me iPhone. Not via the app store or the site. Just trying to #sxsw it and am feelin so out of touch.,iPhone,Negative emotion,negative
2000,"had to charge the #iphone every 6hours here on #sxsw. running it on lowest possible screen brightness. apple, fix your basics!",iPhone,Negative emotion,negative
2001,iPhone charging at #SXSW  {link},,No emotion toward brand or product,neutral
2002,iPhone charging party in the hallway. UX and IA professionals unite! #sxsw,iPhone,Positive emotion,positive
2003,We are gearing up for the #SXSW interactive trade show! We are across from Google:  {link},,No emotion toward brand or product,neutral
2004,iPhone sharing???? #sxsw #shareable,,No emotion toward brand or product,neutral
2005,Arrived early to get prime seats for presentation by Google's Marissa Mayer #SXSW -KEK,,No emotion toward brand or product,neutral
2006,The line around the Austin Apple pop-up store? Unbelievable. #SXSW #technology #junkies,,No emotion toward brand or product,neutral
2007,Man gets arrested at #sxsw for not having an iPhone.  {link},,I can't tell,neutral
2008,"Rachael Harris! That's who I saw. That was driving me nuts. Thank you, Google. #sxsw",Google,Positive emotion,positive
2009,I go to bars and get free drinks because I have an iPhone. #doesdroid #SXSW,iPhone,Positive emotion,positive
2010,"Thanks, Marshall Jones for the heads-up! Apple to open temporary store for #SXSW at 6th and Congress... {link}",,No emotion toward brand or product,neutral
2011,Such a smart idea RT @mention w00t! @mention wrote about our #hollergram iPad app for #sxsw!  {link},iPad or iPhone App,Positive emotion,positive
2012,Google's Art Project puts famous artworks into 7 billion pixels- allowing you to zoom in &amp; get an entirely different view of art. #SxSW,Google,Positive emotion,positive
2013,Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw,Other Google product or service,Positive emotion,positive
2014,Good CNN article on why #SXSW is important to social web innovators. {link} This is why I'm bringing Griddler iPad app there.,iPad or iPhone App,Positive emotion,positive
2015,Android party ... #SxSW (@mention Lustre Pearl Bar w/ 63 others) {link},,No emotion toward brand or product,neutral
2016,Android party #sxsw (@mention Lustre Pearl Bar w/ 19 others) {link},,No emotion toward brand or product,neutral
2017,Android party #sxsw (@mention Lustre Pearl Bar w/ 36 others) {link},Android,Positive emotion,positive
2018,"Day 3 - Party hangover, time confused, stumbling into &quot;iPad Interfaces &amp; New Navigation Structures.&quot; Bliss. #SXSW #fb",,No emotion toward brand or product,neutral
2019,"Chimpit party, plutopia, google, maybe a movie. #sxsw starts today for me :)",,No emotion toward brand or product,neutral
2020,I'm lazy as F. Is there a feed for listening to #SXSW bands on iPhone? I'm woefully unprepared for music @mention spreadsheet notwithstanding,,No emotion toward brand or product,neutral
2021,&quot;ideas not objects&quot; Robert burner hired Ives at apple. #sxsw,,No emotion toward brand or product,neutral
2022,OH at Texas Social Media Awards: 'You don't need to ask your mother anymore. Just Google it.' #sxswi #sxsw,,No emotion toward brand or product,neutral
2023,Apple = case study of great #mktg. At #SXSW they just showed everyone up again with buzz about the &quot;pop-up store&quot;: {link},Apple,Positive emotion,positive
2024,RT SteveCase: Google to Launch Major New Social Network Called Circles {link} #sxsw,,No emotion toward brand or product,neutral
2025,Google quash Circles rumours RT @mention We're not launching any products at #SXSW but we're doing plenty else {link},,No emotion toward brand or product,neutral
2026,Is the Flash discussion still relevant? #SXSW #tapworthy iPad design headaches,,Negative emotion,negative
2027,iPhone crashed in front of #sxsw Apple pop-up. #bestworstthingever,,I can't tell,neutral
2028,"Got my flask &amp; my iPad . Yes,  I'm sitting on 9th st waiting for AICN screening. #sxsw #prepared # ILoveaSurprise {link}",iPad,Positive emotion,positive
2029,"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",Other Google product or service,Negative emotion,negative
2030,"Like you asserted, corporate is the new indie. RT @mention Well damn, Apple setting up a &quot;pop-up&quot; shop at #SXSW {link}",,No emotion toward brand or product,neutral
2031,Can't be at  #SXSW ? well this is a nice (free) booby prize... Featured Artists - {link} #iTunes #free via  @mention,,No emotion toward brand or product,neutral
2032,@mention at #cnngrill #sxsw rockin the #iphone couldn't be cooler {link},iPhone,Positive emotion,positive
2033,@mention at #SXSW also known as hershel by my iPhone autocorrect. {link},,No emotion toward brand or product,neutral
2034,"NYT, WSJ at #SXSW ask: Is there a future for branded, native news apps on the iPad? {link} / no there is NOT!!",iPad or iPhone App,Negative emotion,negative
2035,"@mention at #SXSW, 9 out of 10 attendees have MAC or iPad.",iPad,Positive emotion,positive
2036,"Startups at #SXSW, @mention is giving away free hosting. Fill out this and @mention me for a chance to win. {link}",,No emotion toward brand or product,neutral
2037,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; (via @mention,Apple,Positive emotion,positive
2038,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; /via @mention,Apple,Positive emotion,positive
2039,@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;�۝,Apple,Positive emotion,positive
2040,@mention at #sxsw: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} and {link},Google,Positive emotion,positive
2041,"Verbs OH at #SXSW: bump, google, facebook, ping, hashable, fuck, meet, hire...(me) any more?",,No emotion toward brand or product,neutral
2042,@mention at #SXSW! Be the first to send us a pic of @mention and get a free download of our game! #Android #videogame #smartphone,Android App,Positive emotion,positive
2043,Can't be at #sxsw? download their free music mix on itunes {link},,No emotion toward brand or product,neutral
2044,The line at 6th &amp; Congress to enter the new Apple store wraps around 2 blocks  #SXSW,,No emotion toward brand or product,neutral
2045,I just shat a tear. RT @mention Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,Positive emotion,positive
2046,I hear that Apple is opening a pop-up store downtown in the Scarborough building for SXSW and the iPad2. Cool. #SXSW #newapplestoreaustin,Apple,Positive emotion,positive
2047,I love that Apple was smart enough to have a popup #SXSW store. Story (+ map!) {link} tip @mention,Apple,Positive emotion,positive
2048,"No, up that count to 48 as I pass charging station. #fools #sxsw @mention",,No emotion toward brand or product,neutral
2049,Arriving at Google party at #SXSW. Small queue. 1986 here we come. Wittingly some of our group weren't born then. {link},,No emotion toward brand or product,neutral
2050,80s band at google/ACLU 1986 party rocks  #SXSW  {link},Google,Positive emotion,positive
2051,"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at #sxsw #awesometiming",iPad,Positive emotion,positive
2052,A free heat map app of 4sq check-ins at #SXSW see @mention Hot Spots @mention SXSW. Now on WP7 &amp; iPhone #wedig,,No emotion toward brand or product,neutral
2053,Google heat map for global searches. #SXSW #Hotpot {link},,No emotion toward brand or product,neutral
2054,"Oh, is that my excuse:? RT @mention RT @mention at #sxsw: &quot;apple comes up with cool technology ... because they don't go to conferences&quot;",Apple,Positive emotion,positive
2055,"Did... what my mom might call The Big at #SXSW. Power plant, CNN, Google, and offchain set by Trombone Shorty at PBS. So sad missed Rye Rey",,I can't tell,neutral
2056,Wonder what percentage of #SXSW interactive participants have an iPhone. It's gotta be high,iPhone,Positive emotion,positive
2057,Hungover At SXSW? Use Zaarly To Get Your Gatorade And Advil {link} #BillLee #HTML #iPhone #SXSW,,No emotion toward brand or product,neutral
2058,@mention at Team Android party. @mention @mention just walked in. DL Appolicious app &amp; enter to win free Nexus S! #androidsxsw #sxsw,Android,Positive emotion,positive
2059,Geek out at the #sxsw interactive panels with this iPad Holler Gram app. Use your iPad to display messages to others. {link},iPad,Positive emotion,positive
2060,"The line at the #sxsw Apple Popup Store was shorter than the line at the Starbucks across the street. So, I really had no choice��_",,No emotion toward brand or product,neutral
2061,The line at the #sxsw pop-up Apple store is already around the block.  5 hrs b4 ipad2 goes on sale. {link},,No emotion toward brand or product,neutral
2062,"The line at the apple store goes around the block. Oh, that's right, iPad 2! Also, #sxsw.",iPad,Positive emotion,positive
2063,The band at the Google party is the most entertaining band I have ever seen #sxsw,,Positive emotion,positive
2064,"Blackout at the hotel. In true #SXSW form, showering by the light of my iPad.",,No emotion toward brand or product,neutral
2065,The line at the popup Apple Store is phenomenal. #sxsw #apple #ipad2  {link},Apple,Positive emotion,positive
2066,"Standing at the top of the steps (right side coming out onto patio). Come and say, &quot;What's up, Android?&quot; #TeamAndroid #sxsw",,No emotion toward brand or product,neutral
2067,Wonder what they'll have up their sleeves RT @mention #Google Launch New #Social #Network Called #Circles {link} #sxsw,,No emotion toward brand or product,neutral
2068,"VentureBeat: RT @mention On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention  {link}",Apple,Positive emotion,positive
2069,thats great! RT @mention Official #SXSW IPhone/iPad/iOS meetup is almost all employers looking for developers. {link},,No emotion toward brand or product,neutral
2070,��� WHO? WHAT? WHERE? WHEN? WHY? ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,neutral
2071,bout to watch the @mention live at #SXSW Apple Store for iPad 2 w/ @mention and @mention Living vicariously through all those that buy one.,iPad,Positive emotion,positive
2072,Another late start at #sxsw #sxswi damn you google and your rocking 80's party,Google,Positive emotion,positive
2073,The Spasmatics are rockin' it at the ACLU / Google party. #sxsw,Google,Positive emotion,positive
2074,Why has latin America not produced the next @mention or @mention ? #Latism #latam #sxsw,,No emotion toward brand or product,neutral
2075,"Great location choice, and nice timing for iPad2 launch: #Apple, #HP 'popping' in for #SXSW {link}",iPad,Positive emotion,positive
2076,Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android App,Positive emotion,positive
2077,@mention atleast you are at #sxsw. I'm not there AND I have no Ipad. #doubleloser,,No emotion toward brand or product,neutral
2078,"William Patry, google, says most authors dont care about copyright, they care about income. #sxsw but what models?",,I can't tell,neutral
2079,No way!'Matt fricking Damon at Google party at Maggie mae's. #Sxsw @mention {link},,No emotion toward brand or product,neutral
2080,"We're creatures of habit. Google found that CTRs for blue links far outpaced green. The darker the link, the more clicks it got. #sxsw",,No emotion toward brand or product,neutral
2081,"No way! #atx #sxsw RT @mention Just found out the Apple pop-up store is scheduled to close on Sunday, let's hope it is only a rumor!",,No emotion toward brand or product,neutral
2082,"#CNN to launch &quot;TV everywhere&quot; service for mobile, Google TV &amp; computers: {link} by @mention  #SXSW #google",,No emotion toward brand or product,neutral
2083,We just launched our iPad app at #SXSW! Get all the details + the first edition FREE: {link},,No emotion toward brand or product,neutral
2084,We just launched SPIN's iPad app at #SXSW. Tons of #music #photos #videos and more! Whatcha think? {link},iPad or iPhone App,Positive emotion,positive
2085,"HeyWire launches group chat with Facebook, Google and Twitter #sxsw {link}",,No emotion toward brand or product,neutral
2086,"Ran the gauntlet to get a seat in ipad design talk, expect it'll be overflowing #sxsw",,No emotion toward brand or product,neutral
2087,"5th Ave, Austin #sxsw #ipad2 lines. {link}",,No emotion toward brand or product,neutral
2088,You #GDGTAustin attendees are havin FUN! Happy #SXSW! Stop by on your way out. Last chance to win an iPad 2!,,No emotion toward brand or product,neutral
2089,"Going to Austin for #SXSW? The @mention Austin guide for #iPhone is free from Mar 9-15, {link} #lp",,No emotion toward brand or product,neutral
2090,Austinjs autocorrects to Sisyphus on the iPhone. Just sayin'. #sxsw,iPhone,No emotion toward brand or product,neutral
2091,"I don't have a television, but still have a two-screen expierence: iPhone and iPad. #psych #SXSW",iPhone,Positive emotion,positive
2092,&quot;I have my iPhone and @mention - Paul Reubens #sxsw,,No emotion toward brand or product,neutral
2093,"The ppl have spoken &quot;great #SXSW session w/ Bing, Google and Danny Sullivan. Bring it back next year with a LARGER room!&quot;: #qagb #sxswi",Google,Positive emotion,positive
2094,"Anyone leaving #sxsw with an iPhone/iPad and time to kill in airports or on flights, download Tiny Wings. You're welcome, and I'm sorry.",iPad or iPhone App,Positive emotion,positive
2095,Matthew Davis/Designing for iPad- &quot;the web has been like a strip mall of content...&quot; #sxsw,iPad,Positive emotion,positive
2096,Think I saw @mention or a lookalike in line for iPad 2 @mention Apple pop-up shop at #SXSW. He's got an awesome (&amp; very profitable) YouTube channel,,No emotion toward brand or product,neutral
2097,iPad giveaway for using @mention at #sxsw {link},iPad,Positive emotion,positive
2098,"Stepping away from the computer, leaving my iPhone in the den.  #disconnectedSundays  #booya.  Have a good avro #SXSW",,No emotion toward brand or product,neutral
2099,Win this awesome iPad from QuiBids and custom @mention case if we catch you at #SXSW wearing an openbeta VIP badge!,iPad,Positive emotion,positive
2100,@mention awesome. I traded in #sxsw last year for the iPad 1.,iPad,Positive emotion,positive
2101,"RT haha, awesomely rad iPad app by @mention {link} #hollergram #sxsw (via @mention",iPad or iPhone App,Positive emotion,positive
2102,"RT haha, awesomely rad iPad app by @mention {link} #hollergram #sxsw (via @mention @mention",iPad or iPhone App,Positive emotion,positive
2103,Piece of awesomeness: Arduino + android = Flaming skulls  {link} @mention @mention #sxsw #smartthings,Android,Positive emotion,positive
2104,"Dude, I may actually buy an iPad 2 tomorrow. Apple will have a temporary store in downtown Austin for #SXSW! {link}",iPad,Positive emotion,positive
2105,Giving away an iPad 2 at this panel. Wish me luck! #sxsw,iPad,Positive emotion,positive
2106,Giving away an iPad to sharers who invite the most friends to join AOS this #SXSW @mention The Ginger Man {link},iPad,Positive emotion,positive
2107,"Giving away Apple gift cards in exchange 4 serious style. Find us on 6th or by the conv cntr. U look hot, we'll do the rest. #SXSW fashion",Apple,Positive emotion,positive
2108,"Android may be gaining market share, but you'd never know it at #sxsw. Apparently our industry movers and shakers are Apple loyalists.",,Positive emotion,positive
2109,"Have to say, pretty smart timing for #Apple to drop the #ipad2 right on top of #SXSW. it's nearly all that anyones talking about.",iPad,Positive emotion,positive
2110,"Have to say, when I heard &quot;pop up Apple store&quot; I pictured something more along the lines of a inflatable bouncy castle. #SXSW",,No emotion toward brand or product,neutral
2111,Marissa Mayer @mention : Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} #sxsw via @mention,,No emotion toward brand or product,neutral
2112,Marissa Mayer @mention future: not AR but &quot;contextual discovery&quot;-- image+location+personalized context+recommendations #SXSW,,No emotion toward brand or product,neutral
2113,"Marissa Mayer #sxsw Google &quot;making smart phones smarter&quot; &amp; life more efficient: knowing your sched --&gt; suggest flights, maps, weather &amp; more",Google,Positive emotion,positive
2114,"Marissa Mayer at #SXSW: 150 M users of Google Maps for mobile. For 1st time ever, an app born for web has more use as a mobile app.",,No emotion toward brand or product,neutral
2115,Marissa Mayer at #sxsw: 150 Million people use Google Maps on mobile devices. That's up 50% since Aug 2010 - {link} #in,,No emotion toward brand or product,neutral
2116,Marissa Mayer demonstrating the google art project. Take a museum tour  without leaving home. Art for the masses. #sxsw,,No emotion toward brand or product,neutral
2117,Marissa Mayer from @mention &quot;mobile is a cursor&quot; #SXSW ... Demo of next gen google maps is really impressive btw,Other Google product or service,Positive emotion,positive
2118,Marissa Mayer of Google speaking at #SXSW mobile phone usage of google maps surpassed online use in the past couple months,Other Google product or service,Positive emotion,positive
2119,Melissa Mayer of Google says credit card companies can predict a divorce with 98% accuracy based on spending patterns alone. #SXSW #guardian,,No emotion toward brand or product,neutral
2120,Merissa Mayer of Google - study of mail-order purchases led to 98% accuracy in predicting divorces two years in advance. #SXSW,,No emotion toward brand or product,neutral
2121,Marissa Mayer rechristening augmented reality as &quot;contextual discovery at #sxsw #sxswi #google #tcs_dw,,No emotion toward brand or product,neutral
2122,"Marissa Mayer talks the future of Google maps and discusses Hotpot, its answer to location-based ratings and recommendations #SXSW -KEK",Other Google product or service,Positive emotion,positive
2123,Marissa Mayer-taking phone location data from a ski hill and laying the elapsed movement of skiiers onto Google maps. #sxsw,,No emotion toward brand or product,neutral
2124,"Marissa Mayer, Google, says 40% of Google Maps usage is local. Google Maps has more than 150m users a day. #sxsw",,No emotion toward brand or product,neutral
2125,"Marissa Mayer, VP Consumer Products for Google, doing great job at #SXSW. Audience has tons of respect for what Google is doing w/ location.",Google,Positive emotion,positive
2126,"Marissa Mayer, VP of Search at Google is on live from #sxsw in just a few moments {link}",,No emotion toward brand or product,neutral
2127,"Marissa Mayer: &quot;Our focus is on location based services.&quot; Demoed Hotpot, Google Maps, vector maps, augmented reality. #sxsw #webvisions",Google,Positive emotion,positive
2128,Marissa Mayer: #Google wil connect the digital &amp; physical worlds through mobile  {link}  #SXSW,Google,Positive emotion,positive
2129,Marissa Mayer: #Google Will Connect the #Digital &amp; Physical Worlds Through #Mobile {link} #SXSW,,No emotion toward brand or product,neutral
2130,Marissa Mayer: #Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} #SXSW #SXSWi,,No emotion toward brand or product,neutral
2131,Marissa Mayer: 40% Of Google Maps Usage Is Mobile (And There Are 150 Million Mobile Users) {link} #google #SXSW #TC,,No emotion toward brand or product,neutral
2132,Marissa Mayer: 40% Of Google Maps Usage Is Mobile (And There Are 150 Million Mobile��Users) {link} via @mention #SXSW $GOOG,,No emotion toward brand or product,neutral
2133,Marissa Mayer: 40% Of Google Maps Usage Is Mobile. Surprised it isn't way north of 50% #sxsw {link},,No emotion toward brand or product,neutral
2134,Marissa Mayer: Check-ins are fun but what do you get from them?  Thats why google is testing loyalty offers.  Watch out foursquare. #sxsw,,Positive emotion,positive
2135,"Marissa Mayer: Google maps should have better customer service, quicker responses. #sxsw #FH",Other Google product or service,Negative emotion,negative
2136,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw,,No emotion toward brand or product,neutral
2137,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW,,No emotion toward brand or product,neutral
2138,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw,,No emotion toward brand or product,neutral
2139,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw (via @mention,,No emotion toward brand or product,neutral
2140,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw {link},,No emotion toward brand or product,neutral
2141,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - on.mash.to/fHDCfn #sxsw,,No emotion toward brand or product,neutral
2142,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} #mobile #sxsw,,No emotion toward brand or product,neutral
2143,Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile: {link} #google #sxsw #mobile #hotpot,Google,Positive emotion,positive
2144,Marissa Mayer: Location and contextual discovery will enable mobile devices to make us more efficient.  e.g. Google Places w/Hotpot #sxsw,Other Google product or service,Positive emotion,positive
2145,"Marissa Mayer's preso at #sxsw was good. Big ad for Google, which is fine. She was good. I expected more. Other attendees' thoughts?",,No emotion toward brand or product,neutral
2146,Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw,iPad,Negative emotion,negative
2147,"Google plays down social network Circles at #SxSW {link} - FB needs a rival, even if it's just to keep them on their toes",Google,No emotion toward brand or product,neutral
2148,Crowley says no hard feelings towards Google after Dodgeball experience. Says they would be good partner. #SXSW #checkins,Google,Positive emotion,positive
2149,really amazing to see so many people putting up with Apple's Notes app on the iPad at #SXSW,iPad or iPhone App,Negative emotion,negative
2150,really amazing to see so many people putting up with Apple's Notes app on the iPad at #SXSW:  {link},iPad or iPhone App,Negative emotion,negative
2151,Google web fonts...pretty... #sxsw #tradeshow {link},Other Google product or service,Positive emotion,positive
2152,Expect mob scenes on W 6th St &amp; Congress {link} #sxsw #ipad2,,No emotion toward brand or product,neutral
2153,Chrome Web Store: Google calls it the HTML5 Hot Tub #sxsw #steamy #hot #nerds,Other Google product or service,Positive emotion,positive
2154,"In #SXSW Ballroom D for @mention from @mention 
one seat reserved in the fourth row if anyone wants to join #HTXSW",,No emotion toward brand or product,neutral
2155,Cool new band alert at #SXSW. Check out A House A Home. Google them now! {link},,No emotion toward brand or product,neutral
2156,Miss the Battelle Interview About IPad 2 &amp;Social Media last week? Find it here [video] {link} #sxsw,,No emotion toward brand or product,neutral
2157,Apple grabbed the tablet mindshare at #sxsw but RIM owns one of the most popular events. #foodspotting   {link} ~@mention,,No emotion toward brand or product,neutral
2158,Apple grabbed the tablet mindshare at #sxsw but RIM owns one of the most popular events. #foodspotting #mnbuzz  {link},Apple,Positive emotion,positive
2159,Just got BBQ on my iPhone #sxsw,,No emotion toward brand or product,neutral
2160,Funny to be at the PSFK session sponsored by Microsoft. All they do is to talk about Apple. #SXSW,,No emotion toward brand or product,neutral
2161,Going to be awesome! RT @mention Gallery of original Daniel Johnston art going up at tomorrow's #GSDM + #Google industry party.  #sxsw,,No emotion toward brand or product,neutral
2162,Going to be big if Google gets it: Using Q&amp;A Site Hipster If You�۪re At SXSW  {link} #sxsw #tech #social,,No emotion toward brand or product,neutral
2163,About to be interviewed by Mashable while waiting in line at the popup Apple Store at #SxSW.,,No emotion toward brand or product,neutral
2164,@mention be sure to use our FREE App for checking out the bands at #SXSW! {link},,Positive emotion,positive
2165,Line has been wrapped around the block all day #apple #ipad2 #sxsw,,No emotion toward brand or product,neutral
2166,"See a member of our team carrying one of these bags at #SXSW, show them your Wolfram|App &amp; get a W|A iPhone case! {link}",,No emotion toward brand or product,neutral
2167,"See a member of our team with this bag at #sxsw, show them your Wolfram App &amp; get a W|A case for your iPhone!  {link}",,No emotion toward brand or product,neutral
2168,"Enjoying Berkowitz talk about RFID and NCF...impact on mobile, retail. Would you carry a NFC phone? Google bullish #sxsw ballroom E",,Positive emotion,positive
2169,Any blackberry apps for #sxsw ?? Pls let @mention and I know...cheers...will have iphone too...:-),,I can't tell,neutral
